%time,seq,stamp,frame_id,x,y,z
7419783130,143,7467000000,world,0.9856387376785278,0.0749292373657226,0.0014234781265258
7475250640,144,7500000000,world,1.0088951587677002,0.0711958408355712,0.0010826587677001
7526876497,145,7567000000,world,1.0563452243804932,0.0598854720592498,0.0026007890701293
7586638560,146,7600000000,world,1.0780105590820312,0.0523350834846496,0.0029270648956298
7639439993,147,7667000000,world,1.1236460208892822,0.0369222164154052,0.0036660432815551
7694444530,148,7700000000,world,1.146585464477539,0.0289138555526733,0.0046474933624267
7760837533,149,7767000000,world,1.1933777332305908,0.0077416896820068,0.0036630630493164
7809459904,150,7867000000,world,1.2603009939193726,-0.0256450176239013,0.0035481452941894
7848119776,151,7900000000,world,1.2998387813568115,-0.0300638079643249,-0.0034173727035522
7897311870,152,7934000000,world,1.3144047260284424,-0.05543053150177,0.0020824670791625
7962400771,153,7967000000,world,1.331645965576172,-0.0671201944351196,0.0014841556549072
8026201131,154,8067000000,world,1.3888511657714844,-0.1089517474174499,0.0030267238616943
8082446038,155,8100000000,world,1.4405406713485718,0.022884726524353,0.0559934377670288
8125555230,156,8167000000,world,1.4675627946853638,-0.014714777469635,0.0554254055023193
8175594495,157,8200000000,world,1.4849953651428225,-0.034918874502182,0.0547642707824707
8229707185,158,8267000000,world,1.5176024436950684,-0.0743107199668884,0.0564426183700561
8290077457,159,8300000000,world,1.537029504776001,-0.086832582950592,0.0544956922531127
8341880504,160,8367000000,world,1.5662822723388672,-0.1289928555488586,0.0543971061706543
8396159380,161,8400000000,world,1.581859827041626,-0.1465365588665008,0.0552617311477661
8445999461,162,8467000000,world,1.616686224937439,-0.1828702092170715,0.0553383827209472
8501827944,163,8500000000,world,1.635460376739502,-0.2005155980587005,0.0553668737411499
8556053197,164,8567000000,world,1.672346830368042,-0.2367261052131652,0.0544841289520263
8612091954,165,8634000000,world,1.7072330713272097,-0.2732979357242584,0.0539582967758178
8664920079,166,8700000000,world,1.7407630681991575,-0.3082937598228454,0.0555663108825683
8714182230,167,8767000000,world,1.7787446975708008,-0.3436234593391418,0.0541484355926513
8774597803,168,8800000000,world,1.7955293655395508,-0.3600636124610901,0.0535608530044555
8825793884,169,8867000000,world,1.8321212530136108,-0.3944329023361206,0.0531215667724609
8879142295,170,8900000000,world,1.850918531417847,-0.4125694036483764,0.0510885715484619
8931535768,171,8967000000,world,1.8850518465042116,-0.448573887348175,0.0522369146347045
8981844038,172,9000000000,world,1.905787467956543,-0.4657508134841919,0.0516490936279296
9038535318,173,9067000000,world,1.939884185791016,-0.5015003681182861,0.0505361557006835
9085578853,174,9100000000,world,1.955928325653076,-0.5191417336463928,0.0516464710235595
9139994521,175,9167000000,world,1.990409255027771,-0.5532129406929016,0.0499217510223388
9201254975,176,9200000000,world,2.007840156555176,-0.5741419196128845,0.0495331287384033
9253160749,177,9267000000,world,2.0410265922546387,-0.6145553588867188,0.0503542423248291
9313300004,178,9334000000,world,2.0690460205078125,-0.6594985127449036,0.0478901863098144
9366657900,179,9400000000,world,2.0934765338897705,-0.6972873210906982,0.0504109859466552
9418494153,180,9467000000,world,2.120425224304199,-0.7432197332382202,0.0488488674163818
9469655733,181,9500000000,world,2.1364223957061768,-0.7621277570724487,0.0483264923095703
9515989641,182,9567000000,world,2.164316177368164,-0.8061187267303467,0.0490052700042724
9574735718,183,9600000000,world,2.1785435676574707,-0.8268305659294128,0.0476648807525634
9633633436,184,9667000000,world,2.2074685096740723,-0.8689045310020447,0.0465943813323974
9686205677,185,9700000000,world,2.2227885723114014,-0.8869245648384094,0.0463075637817382
9745228990,186,9767000000,world,2.251047134399414,-0.9311227798461914,0.0468521118164062
9797428593,187,9800000000,world,2.2649483680725098,-0.9507013559341432,0.0462772846221923
9852890422,188,9867000000,world,2.29335355758667,-0.9940051436424256,0.0459578037261962
9907637241,189,9900000000,world,2.308294773101806,-1.0145690441131592,0.0463123321533203
9965003682,190,10000000000,world,2.350987672805786,-1.0784872770309448,0.0453383922576904
10012090477,191,10067000000,world,2.3729612827301025,-1.1303013563156128,0.0436077117919921
10063509163,192,10100000000,world,2.386026382446289,-1.1457703113555908,0.0440626144409179
10118855807,193,10167000000,world,2.4173412322998047,-1.1905471086502075,0.0419623851776123
10172427241,194,10200000000,world,2.432036638259888,-1.2084448337554932,0.0435919761657714
10231400185,195,10267000000,world,2.460439443588257,-1.2507236003875732,0.0417883396148681
10289757875,196,10300000000,world,2.475067377090454,-1.2734607458114624,0.0410199165344238
10350575062,197,10367000000,world,2.504044771194458,-1.315902829170227,0.0417783260345459
10411867858,198,10434000000,world,2.5305943489074707,-1.3882075548171997,0.0342977046966552
10467572744,199,10500000000,world,2.5606818199157715,-1.4294942617416382,0.0319817066192626
10518045719,200,10567000000,world,2.590049266815185,-1.472677230834961,0.0327062606811523
10575405647,201,10600000000,world,2.6071856021881104,-1.4940826892852783,0.0330219268798828
10628875165,202,10667000000,world,2.6387906074523926,-1.5370020866394043,0.0310337543487548
10686633276,203,10700000000,world,2.654784202575684,-1.5569586753845217,0.0314559936523437
10741528883,204,10767000000,world,2.6830644607543945,-1.597942590713501,0.0313658714294433
10802305905,205,10800000000,world,2.699208974838257,-1.6199089288711548,0.0303668975830078
10857546711,206,10867000000,world,2.729131937026977,-1.6594163179397583,0.0303473472595214
10911707500,207,10967000000,world,2.7724831104278564,-1.721001148223877,0.0295236110687255
10969808117,208,11000000000,world,2.7871973514556885,-1.7419981956481934,0.0303676128387451
11028945399,209,11067000000,world,2.8178982734680176,-1.7849942445755005,0.0284769535064697
11081414316,210,11100000000,world,2.8295717239379883,-1.8089637756347656,0.0265994071960449
11141254026,211,11167000000,world,2.859266757965088,-1.849043369293213,0.027085542678833
11198810245,212,11200000000,world,2.876140594482422,-1.8670995235443115,0.0249645709991455
11251668347,213,11267000000,world,2.904432773590088,-1.9089515209198,0.0262887477874755
11314599010,214,11334000000,world,2.9339637756347656,-1.9513282775878904,0.0249104499816894
11380995354,215,11400000000,world,2.9623284339904785,-1.992633581161499,0.0259368419647216
11434234546,216,11467000000,world,2.989804744720459,-2.040958881378174,0.0193243026733398
11480527170,217,11500000000,world,3.019021511077881,-2.0625643730163574,0.0112800598144531
11528749528,218,11567000000,world,3.042952299118042,-2.1050710678100586,0.0117678642272949
11584921095,219,11600000000,world,3.058826208114624,-2.124208927154541,0.008805513381958
11639766289,220,11667000000,world,3.090643882751465,-2.163182497024536,0.0106041431427001
11707717073,221,11700000000,world,3.1004180908203125,-2.186521530151367,0.0113952159881591
11760911824,222,11800000000,world,3.1469640731811523,-2.2455334663391118,0.0084614753723144
