%time,seq,stamp,frame_id,child_frame_id,x,y,z
16524155819,824,16480000000,world,base_link,7.164432888494236,-3.644567342379706,-3.883425824496856e-06
16524198581,825,16500000000,world,base_link,7.160368840076185,-3.6591838146508806,-3.877543218198942e-06
16524203280,826,16520000000,world,base_link,7.15630491093269,-3.6738003239953425,-3.8717622409985275e-06
16574448144,827,16540000000,world,base_link,7.152241101069862,-3.68841687041058,-3.866082852899827e-06
16585167146,828,16560000000,world,base_link,7.148177410492874,-3.7030334538944585,-3.860503266398668e-06
16634042639,829,16580000000,world,base_link,7.144113839206714,-3.717650074445011,-3.8550217274987975e-06
16634074815,830,16600000000,world,base_link,7.140050387216338,-3.7322667320602996,-3.84963651269693e-06
16634084574,831,16620000000,world,base_link,7.135987054526382,-3.7468834267386217,-3.844346003999133e-06
16694190501,832,16640000000,world,base_link,7.131923841141099,-3.7615001584786505,-3.839148698499967e-06
16695664941,833,16660000000,world,base_link,7.127860747055635,-3.776116927283809,-3.834046223297194e-06
16744370417,834,16680000000,world,base_link,7.12379777226926,-3.7907337331552813,-3.829038593698014e-06
16744414986,835,16700000000,world,base_link,7.119734916787081,-3.8053505760910222,-3.824124047799304e-06
16744548113,836,16720000000,world,base_link,7.11567218061418,-3.819967456089003,-3.819300856498092e-06
16794215224,837,16740000000,world,base_link,7.111609563755547,-3.834584373147225,-3.81456732259991e-06
16794282439,838,16760000000,world,base_link,7.107547066216139,-3.8492013272637178,-3.8099217809992036e-06
16809803172,839,16780000000,world,base_link,7.103484688000876,-3.8638183184365413,-3.8053625970001226e-06
16809837023,840,16800000000,world,base_link,7.09942242911459,-3.8784353466637858,-3.8008881664969296e-06
16864163625,841,16820000000,world,base_link,7.0953602895620875,-3.893052411943567,-3.796496914898473e-06
16864195026,842,16840000000,world,base_link,7.091298269348094,-3.907669514274032,-3.7921872970969606e-06
16864269887,843,16860000000,world,base_link,7.087236368477335,-3.9222866536533516,-3.787957796798358e-06
16914048928,844,16880000000,world,base_link,7.083174586954442,-3.9369038300797263,-3.7838069251970585e-06
16914079080,845,16900000000,world,base_link,7.07911292478402,-3.951521043551381,-3.7797332220999846e-06
16949822287,846,16920000000,world,base_link,7.075051381970621,-3.966138294066567,-3.775735253598589e-06
16949853156,847,16940000000,world,base_link,7.070989958518755,-3.980755581623561,-3.7718116129986656e-06
17004288520,848,16960000000,world,base_link,7.066928654432868,-3.9953729062206653,-3.767960919599106e-06
17004328241,849,16980000000,world,base_link,7.062867469717386,-4.009990267856203,-3.7641818176996356e-06
17054110259,850,17000000000,world,base_link,7.058806404376686,-4.024607666528528,-3.76047297769716e-06
17054156239,851,17020000000,world,base_link,7.054745458415095,-4.03922510223601,-3.7568330940977723e-06
17054170309,852,17040000000,world,base_link,7.050684631836894,-4.053842574977046,-3.7532608857977767e-06
17104133319,853,17060000000,world,base_link,7.04662392464634,-4.068460084750056,-3.7497550954973535e-06
17104193093,854,17080000000,world,base_link,7.042563336847625,-4.08307763155348,-3.7463144895999445e-06
17105652578,855,17100000000,world,base_link,7.0385028684449225,-4.097695215385781,-3.7429378568973326e-06
17119732602,856,17120000000,world,base_link,7.034442519442372,-4.112312836245444,-3.7396240086980115e-06
17164232280,857,17140000000,world,base_link,7.0303822898440345,-4.126930494130972,-3.736371778497588e-06
17214519385,858,17160000000,world,base_link,7.026322179653977,-4.141548189040893,-3.7331800215971433e-06
17214677727,859,17180000000,world,base_link,7.022262188876212,-4.156165920973752,-3.730047614797921e-06
17214699066,860,17200000000,world,base_link,7.01820231751471,-4.170783689928114,-3.7269734547984434e-06
17274654216,861,17220000000,world,base_link,7.014142565573707,-4.185401495902689,-3.72395585959695e-06
17274700080,862,17240000000,world,base_link,7.010082933056772,-4.200019338897406,-3.72099192339978e-06
17293726888,863,17260000000,world,base_link,7.006023419967256,-4.2146372189113315,-3.7180805410978734e-06
17293752992,864,17280000000,world,base_link,7.001964026308951,-4.229255135943129,-3.715220780797779e-06
17334156033,865,17300000000,world,base_link,6.99790475208561,-4.243873089991478,-3.7124117271969403e-06
17334190591,866,17320000000,world,base_link,6.993845597300982,-4.258491081055075,-3.7096524813998166e-06
17394093114,867,17340000000,world,base_link,6.989786561958766,-4.273109109132632,-3.7069421601997055e-06
17394122661,868,17360000000,world,base_link,6.985727646062635,-4.287727174222875,-3.7042798958983325e-06
17444199573,869,17380000000,world,base_link,6.981668849616227,-4.302345276324548,-3.7016648367985128e-06
17444247245,870,17400000000,world,base_link,6.977610172623169,-4.31696341543641,-3.6990961456984106e-06
17444358397,871,17420000000,world,base_link,6.973551615087061,-4.331581591557235,-3.696573000498693e-06
17494027179,872,17440000000,world,base_link,6.96949317701144,-4.346199804685813,-3.6940945936994596e-06
17494044672,873,17460000000,world,base_link,6.96543485839986,-4.360818054820944,-3.691660131897173e-06
17496870222,874,17480000000,world,base_link,6.961052043677331,-4.375354745885468,-4.974713546799375e-06
17516435442,875,17500000000,world,base_link,6.956600099857788,-4.389912567570981,-6.869061138399524e-06
17574401672,876,17520000000,world,base_link,6.952008301516106,-4.404414592358286,-6.857223416797953e-06
17574458696,877,17540000000,world,base_link,6.947273176588411,-4.4188629560502255,-6.844945796297824e-06
17624298857,878,17560000000,world,base_link,6.942391671624932,-4.43325465119229,-6.83219886549874e-06
17624342233,879,17580000000,world,base_link,6.937402786063814,-4.447560159302961,-9.124282316988475e-07
17624360440,880,17600000000,world,base_link,6.93230490323279,-4.461820786839409,-1.4509423122976983e-06
17624387252,881,17620000000,world,base_link,6.9270166476371635,-4.475991732315778,2.5244390810044703e-07
17674227851,882,17640000000,world,base_link,6.921515673427461,-4.490082983318758,-1.2288462931976663e-06
17691995836,883,17660000000,world,base_link,6.915809334101116,-4.504093805848654,-1.3395012191975975e-06
17744254011,884,17680000000,world,base_link,6.9099046052158,-4.51800189705474,3.931841419009541e-07
17744308193,885,17700000000,world,base_link,6.90378915746582,-4.531821373620009,-1.5261086971987692e-06
17744345329,886,17720000000,world,base_link,6.897473068905541,-4.545551983730356,-1.2343953162997912e-06
17804072394,887,17740000000,world,base_link,6.890962549170382,-4.559171190113482,5.321165940999628e-07
17804119809,888,17760000000,world,base_link,6.884244544250954,-4.5726933257513664,-1.8114598895994927e-06
17817132589,889,17780000000,world,base_link,6.877330915588566,-4.58611834933882,-1.1328867608982607e-06
17817168301,890,17800000000,world,base_link,6.87022719084446,-4.599423544944566,6.647662458003634e-07
17864161544,891,17820000000,world,base_link,6.86291849403397,-4.612624734868788,-2.1224331009997432e-06
17864188330,892,17840000000,world,base_link,6.855418248674528,-4.6257223357200745,-8.854641562992815e-07
17914237105,893,17860000000,world,base_link,6.847730321380116,-4.638694667255781,7.52759824002025e-07
17914274526,894,17880000000,world,base_link,6.839841352470454,-4.651554661624266,-2.444796870799265e-06
17914343977,895,17900000000,world,base_link,6.831767090597598,-4.664302465170672,-6.405145064995732e-07
17964104698,896,17920000000,world,base_link,6.823509431849761,-4.676917554235427,8.269702159030556e-07
17964125187,897,17940000000,world,base_link,6.815055884002735,-4.689411094835632,-2.708125581198789e-06
17964170649,898,17960000000,world,base_link,6.806424093478611,-4.701783640427827,-5.0452075239793e-07
18014133990,899,17980000000,world,base_link,6.797615387706813,-4.714014969063467,9.104583910020392e-07
18020668520,900,18000000000,world,base_link,6.788616885733052,-4.726116021124081,-2.9258746011978642e-06
18074122923,901,18020000000,world,base_link,6.779445660290595,-4.738088509951053,-4.1874478369854917e-07
18074163020,902,18040000000,world,base_link,6.770102893438576,-4.7499124101729615,9.813307360016787e-07
18124371255,903,18060000000,world,base_link,6.760575797520598,-4.761598351079199,-3.1349301458996615e-06
18124407083,904,18080000000,world,base_link,6.750882513209213,-4.77314821565825,-3.4585181699769985e-07
18124415339,905,18100000000,world,base_link,6.741025147707145,-4.784541640657735,1.0484806905013133e-06
