stamp,x,y,x_gt,y_gt
21450000000,7.842806650409824,-1.8965798272257728,7.8269651783183996,-1.9202676760690105
21500000000,7.845189864813319,-1.9371745340731747,7.826850131451286,-1.9585583194954466
21550000000,7.8426730868390075,-1.9714446426687338,7.826736259525113,-1.9968490153760747
21600000000,7.843911752965069,-2.011102278757082,7.826623472194759,-2.035139759646789
21650000000,7.842653913110475,-2.047086947261909,7.826511859880997,-2.073430556308497
21700000000,7.840398365323571,-2.0860404466830005,7.826401332232846,-2.1117214013019505
21750000000,7.84165542407051,-2.126481376806999,7.826291979676878,-2.150012298623186
21800000000,7.8419105929092625,-2.1639230924347275,7.826183711856315,-2.1883032442178125
21850000000,7.84101805755281,-2.201866489598576,7.826076619203558,-2.226594242076998
21900000000,7.837961811616745,-2.2371781897299656,7.825970611355993,-2.2648852881512083
21950000000,7.839076952318283,-2.276655187892155,7.825865778751863,-2.3031763864267405
22000000000,7.842553861496052,-2.3251112137306587,7.825762031022714,-2.3414675328589203
22050000000,7.840593015058743,-2.360187474111622,7.825055179676065,-2.3797472416121295
22100000000,7.841564170391991,-2.401043962163402,7.8233903629763635,-2.417996763965019
22150000000,7.838585066012554,-2.4392533407764976,7.820830959418561,-2.4561796060459997
22200000000,7.835572388007141,-2.4763215574264152,7.817416600376804,-2.4942800711890607
22250000000,7.831804186395948,-2.511605345066998,7.813072410971744,-2.532269613656751
22300000000,7.827692106083194,-2.5489743169016053,7.807868686461232,-2.570136533607821
22350000000,7.8203251385516666,-2.577452736756962,7.801731218346928,-2.607848354931629
22400000000,7.814412396578219,-2.6294493935609706,7.794730198252301,-2.645396268714369
22450000000,7.805585364284859,-2.664544270219628,7.786855125963585,-2.6827367976820566
22500000000,7.802932242836903,-2.7028001163682274,7.778181281487575,-2.719859561210815
22550000000,7.7960066817825515,-2.7363279123206374,7.768461193204699,-2.756702436337698
22600000000,7.787236370540011,-2.772871324148104,7.757955601038164,-2.7932972143058814
22650000000,7.777901283061028,-2.8112950352778157,7.7465576586398885,-2.8295809552125006
22700000000,7.765845710036981,-2.849299510318773,7.734333472717966,-2.8655077064630188
22750000000,7.754317032731577,-2.880773411859044,7.721212099070492,-2.9009909846003215
22800000000,7.738418150128495,-2.9180543138794017,7.706865643485786,-2.9359621295206804
22850000000,7.724099238508662,-2.954129108342261,7.691193702166679,-2.9703289702837985
22900000000,7.70852535012584,-2.986063040100116,7.674321415618829,-3.004093378658955
22950000000,7.691486694250962,-3.0196882729686645,7.656173272322839,-3.0371566365219524
23000000000,7.673430683662907,-3.0478711954543765,7.636860405763572,-3.069546274935804
23050000000,7.653307619718481,-3.0848027940514364,7.616315528776802,-3.101164995291802
23100000000,7.632062647689763,-3.124435154912148,7.594661639769475,-3.13202519483802
23150000000,7.611282223764478,-3.158506095534152,7.571833603784318,-3.162020741512297
23200000000,7.588948643454014,-3.1873495316657534,7.547954523191963,-3.1911790067710943
23250000000,7.5661009654316596,-3.2155513078065097,7.522986068531251,-3.219371447510957
23300000000,7.541113433351283,-3.244932163813938,7.497049277775014,-3.24663666663453
23350000000,7.518525662137162,-3.2706282842268797,7.470080142179944,-3.2728758154676347
23400000000,7.488094224226268,-3.2927526090677577,7.442189764918885,-3.2981372960376567
23450000000,7.463466760602427,-3.3171525120076377,7.413339018610365,-3.322305337472568
23500000000,7.43046021446893,-3.343329110471076,7.383637586860756,-3.34543359058968
23550000000,7.3957188360207455,-3.3794547617659254,7.353054535001895,-3.36740381878128
23600000000,7.367756097885637,-3.4124860762809135,7.321758888869963,-3.3883740713987374
23650000000,7.339203456893878,-3.4294165245045387,7.290039426287915,-3.4087309670236325
23700000000,7.305082545325858,-3.4493384272171808,7.258204866443373,-3.4289126656285727
23750000000,7.27252341615632,-3.4675172505314937,7.226369774478201,-3.449093548354596
23800000000,7.23858698615886,-3.4873005392948606,7.194534501265986,-3.469274153145202
23850000000,7.208563286926672,-3.506999061107415,7.162699031921383,-3.4894544571990003
23900000000,7.1749086778508575,-3.5240876488457644,7.130863381532857,-3.509634483626622
23950000000,7.14339762244707,-3.546686695825452,7.0990275350093,-3.5298142092917564
24000000000,7.113879502682854,-3.563045060827371,7.06719150742944,-3.549993657303116
24050000000,7.079122604453714,-3.5874885095664863,7.035355283701524,-3.570172804522162
24100000000,7.048931189697184,-3.604849793992557,7.003518878905995,-3.5903516740668846
24150000000,7.015459483187675,-3.6255601382034546,6.971682277958719,-3.61053024278677
24200000000,6.984238653702559,-3.646752082699216,6.939845495929314,-3.630708533808257
24250000000,6.952383095736012,-3.6654093572221,6.908008517732835,-3.650886523974397
24300000000,6.920663654189516,-3.68599994878306,6.876171358448415,-3.671064236420966
24350000000,6.887888823281994,-3.708031673462313,6.8443340029893704,-3.6912416479801466
24400000000,6.852510218256592,-3.7334918311611682,6.812496466430646,-3.711418781795565
24450000000,6.8197613803301556,-3.7499952795444895,6.780658733680079,-3.731595614695819
24500000000,6.790405389609949,-3.7750015713680938,6.748820819830813,-3.751772169826406
24550000000,6.754218503376652,-3.7926047844150603,6.716982709770546,-3.7719484240123045
24600000000,6.725021510969206,-3.808588692193074,6.6851444185996325,-3.7921244003996257
24650000000,6.693073984991388,-3.8322748267992526,6.653305931210486,-3.812300075822523
24700000000,6.6644613824398995,-3.853324529688996,6.621467262703595,-3.8324754734138895
24750000000,6.632026518537225,-3.8731037085143,6.589628397966914,-3.8526505700168685
24800000000,6.598288354735872,-3.891754788632707,6.557789352095865,-3.8728253887605977
24850000000,6.56660352438107,-3.914279459771163,6.525950109991772,-3.89299990648934
24900000000,6.5351132771097316,-3.9333985318968727,6.494110686740926,-3.913174146331203
24950000000,6.504470155319073,-3.954464344377524,6.462271067244069,-3.9333480851282308
25000000000,6.456402365942973,-3.9748973398022884,6.430175014916893,-3.953118699937927
25050000000,6.424917589735584,-3.9965427139287515,6.397598082369324,-3.9720951578338832
25100000000,6.389952546584045,-4.015892349827465,6.364346340303444,-3.9899237343333622
25150000000,6.35765893171172,-4.029609555354605,6.330432514208384,-4.006610187932694
25200000000,6.325450777111117,-4.049898512605728,6.295968522247422,-4.022171973131215
25250000000,6.29293069456069,-4.063848963509726,6.260944027360489,-4.036554118331478
25300000000,6.25739253939239,-4.075583877718562,6.225449328173268,-4.049741165670183
25350000000,6.220915984938215,-4.09244252055496,6.189462465565542,-4.061602982268221
25400000000,6.186511183912432,-4.098855019070118,6.153056901133125,-4.072181129585712
25450000000,6.1420642042328275,-4.117276774928862,6.116330485211449,-4.081726460054183
25500000000,6.105271983742696,-4.124053036122109,6.079438187833402,-4.09068628740999
25550000000,6.06600241758435,-4.130997668894052,6.042534639010091,-4.099605326659807
25600000000,6.029890667877216,-4.138262937323217,6.005630872214288,-4.108523571885282
25650000000,5.991957179383227,-4.150452575886735,5.968726877218119,-4.117440985628188
25700000000,5.95501243258561,-4.161594629245242,5.931822671562275,-4.126357631891771
25750000000,5.915424037393101,-4.167659882505582,5.894918237745889,-4.135273446652841
25800000000,5.877297877393292,-4.1753662951824015,5.858013593284708,-4.144188493874493
25850000000,5.8442993359058475,-4.184879269101992,5.8211087206808045,-4.153102709523646
25900000000,5.808602572705015,-4.192852187120313,5.784203637448572,-4.162016157568765
25950000000,5.77141690941909,-4.201761449578556,5.747298326091505,-4.170928773971375
26000000000,5.733588836721999,-4.209895612563171,5.710392804122614,-4.179840622705328
26050000000,5.6971352854562785,-4.218786656334227,5.673487054046749,-4.188751639726759
26100000000,5.65206377796932,-4.232880440500536,5.636581093375552,-4.197661889014908
26150000000,5.616426046537737,-4.243350982390402,5.599674904615261,-4.206571306520518
26200000000,5.582122046957604,-4.252089059906753,5.562768505276148,-4.215479956228216
26250000000,5.544535097520081,-4.258225832020404,5.525861877865826,-4.224387774083356
26300000000,5.500608814969,-4.271098188018651,5.488955039893179,-4.233294824075951
26350000000,5.464444414871578,-4.27970841462779,5.452047973867218,-4.242201042145963
26400000000,5.430530098432199,-4.288109902639006,5.415140697295476,-4.251106492288796
26450000000,5.39051883032032,-4.299843274385176,5.37823319268831,-4.260011110439018
26500000000,5.3493857688169175,-4.307871676844323,5.3413254775518855,-4.268914960597423
26550000000,5.3121646133225395,-4.315956294166156,5.304417534397929,-4.277817978693185
26600000000,5.279349965121682,-4.324670596534606,5.267509380731264,-4.286720228732486
26650000000,5.238441046492122,-4.329843010827646,5.230600999064999,-4.295621646639111
26700000000,5.200548180806697,-4.341144678312608,5.193692406902526,-4.304522296424629
26750000000,5.164402249631345,-4.34727881679151,5.156783586758373,-4.313422114007432
26800000000,5.126259386606757,-4.356400496129927,5.119874556134574,-4.32232116340448
26850000000,5.08578310106587,-4.3659660208794735,5.082965297547005,-4.331219380528772
26900000000,5.051972286107893,-4.374202502096266,5.046055828496366,-4.340116829402654
26950000000,5.0135183383234265,-4.383252342401219,5.009146131499886,-4.349013445933735
27000000000,4.97012337090519,-4.395403761919375,4.97223622405688,-4.357909294149751
27050000000,4.928871393179966,-4.405213745415407,4.935326088685985,-4.366804309952917
27100000000,4.896853977572239,-4.411121084766939,4.898415742885129,-4.375698557376358
27150000000,4.8532976587841,-4.424205436775352,4.8615051691743325,-4.384591972316896
27200000000,4.816389594444041,-4.432059450805784,4.824594385050146,-4.393484618813049
27250000000,4.776769790662394,-4.440976323366022,4.787683373033978,-4.402376432756241
27300000000,4.741294873784031,-4.448937219195073,4.750772150621005,-4.411267478190381
27350000000,4.703671289779305,-4.4591219053204005,4.713860700333996,-4.420157691001501
27400000000,4.666622951030575,-4.465204743749098,4.676892106227632,-4.42884161093524
27450000000,4.629658428674282,-4.4752395674629595,4.639770148376634,-4.436971437878162
27500000000,4.591458963479086,-4.483058318997182,4.602374896444617,-4.444147496363501
27550000000,4.553332184932231,-4.490920639427325,4.564729749427629,-4.450051045374701
27600000000,4.517339515319316,-4.495381915797549,4.526881461170861,-4.454758380973438
27650000000,4.478990978019847,-4.501255799520288,4.48884931701812,-4.458313636714795
27700000000,4.440792228600534,-4.508400826258169,4.450693318893547,-4.461379924762073
27750000000,4.40192183812633,-4.510354795135348,4.412446462187839,-4.464085778602768
27800000000,4.366972264844399,-4.513009992703422,4.374151614121596,-4.466349889862244
27850000000,4.326613956877782,-4.516635215386768,4.335835240497833,-4.467821877776462
27900000000,4.288185261507548,-4.5183433683358984,4.29751294214835,-4.468557259095894
27950000000,4.2446362044662145,-4.518430616570635,4.259183057928606,-4.468494641011669
28000000000,4.209030851093748,-4.516672327042662,4.220855259544999,-4.46842923448571
28050000000,4.169576932303978,-4.517559271595116,4.182527222999482,-4.46835690982895
28100000000,4.132321151208183,-4.516036625411094,4.144206950930611,-4.468285808597972
28150000000,4.094173612736938,-4.514816770868343,4.105887958391117,-4.468248889833655
28200000000,4.056372356488354,-4.51407070657868,4.067565172752117,-4.468183285436479
28250000000,4.017762619505753,-4.513634814158937,4.029249820106333,-4.468131202843411
28300000000,3.975292398746141,-4.517435942622289,3.9909335282262486,-4.4679161665991565
28350000000,3.936166108617571,-4.518542505922692,3.9526344036883096,-4.467164093748889
28400000000,3.897421939900525,-4.51601737398232,3.914368739860509,-4.465609201626177
28450000000,3.8598466485233844,-4.512809629645056,3.8761791756314317,-4.463144636058418
28500000000,3.8239716998898894,-4.509984457289433,3.838054755294229,-4.459821625933254
28550000000,3.785642369339688,-4.505547401106188,3.800033236869293,-4.455577711409006
28600000000,3.7460704450431663,-4.502060774529294,3.7621283630747495,-4.450473818466582
28650000000,3.7100057691403223,-4.496601799263393,3.7243796106661353,-4.444440306518707
28700000000,3.6719044973462083,-4.49002442959854,3.686803969826064,-4.437647775640506
28750000000,3.6372944702769674,-4.480825743302853,3.649427702491307,-4.430008822524629
28800000000,3.5984493975726317,-4.474547415040659,3.612244204976213,-4.42155614393478
28850000000,3.560895416408735,-4.465457007004597,3.575290759032706,-4.412215995505601
28900000000,3.526784677496358,-4.45612132906731,3.538570860214412,-4.402098906799251
28950000000,3.489693265811482,-4.447447015126842,3.5021405936485692,-4.391110667125704
29000000000,3.454054598382447,-4.4349568796468555,3.4660203027261662,-4.379275402235842
29050000000,3.416969284838927,-4.424501050427896,3.430320498067987,-4.36660944549952
29100000000,3.37287074798083,-4.412339567735776,3.395091652554436,-4.352873768857791
29150000000,3.3366890648579597,-4.400001316998295,3.3604434890822095,-4.337807716396615
29200000000,3.3008821467414133,-4.38136860328373,3.326377667520364,-4.321532375560665
29250000000,3.2711149419551315,-4.365156005825559,3.292985277899197,-4.303964681112919
29300000000,3.2371069046358305,-4.3471843108950345,3.260251073151496,-4.285224454916202
29350000000,3.203823577858683,-4.327145843184841,3.2282755888259604,-4.26523917858113
29400000000,3.166215541469733,-4.30545180564224,3.1967146234091484,-4.244605801753585
29450000000,3.14022069049841,-4.285955648310893,3.165426014305096,-4.223609007491538
29500000000,3.100383443538545,-4.264746243585348,3.1341386969774927,-4.202610356180343
29550000000,3.066207267087944,-4.241936745012109,3.1028512039155327,-4.181611960369718
29600000000,3.0355042695217698,-4.218331970255479,3.071563545046823,-4.160613805628008
29650000000,2.998282215133591,-4.199923545018161,3.0402757065440404,-4.139615912059827
29700000000,2.9700905576497125,-4.174180608534309,3.0089877022253244,-4.11861825958758
29750000000,2.9416782311362755,-4.151575979598686,2.9776995182619803,-4.097620868313367
29800000000,2.9077655488267404,-4.129839419658552,2.946411168469483,-4.076623718157072
29850000000,2.87608844510543,-4.109221490831297,2.9151226390235614,-4.055626829224396
29900000000,2.8398552588606147,-4.092885168945165,2.8838339437351035,-4.034630181430976
29950000000,2.813006769272559,-4.071009426368527,2.852545068787931,-4.013633794884571
30000000000,2.7775134837493183,-4.049005298006589,2.8212560279892056,-3.9926376495019342
30050000000,2.747440106841644,-4.027117805973964,2.7899668075146025,-3.9716417653895837
30100000000,2.715851194413594,-4.004508864474271,2.758677421180865,-3.9506461224622496
30150000000,2.6809377642360186,-3.985397602039918,2.7273878551595647,-3.9296507408308567
30200000000,2.6519318002471177,-3.9628775245887815,2.6960981232714456,-3.908655600405293
30250000000,2.6202628181254735,-3.9417591558675094,2.6648082116858856,-3.887660721301951
30300000000,2.589222271321017,-3.9203503774335147,2.6335181342209832,-3.866666083428153
30350000000,2.560391783952057,-3.8991315854775945,2.602305218606279,-3.8455603120159276
30400000000,2.5262635219220932,-3.8761548623147735,2.5714676901395475,-3.823932850951139
30450000000,2.4946333954237994,-3.8548233281790734,2.541370179400513,-3.8013140399717633
30500000000,2.4658159737254155,-3.833832446279103,2.512106059670556,-3.777642356768721
30550000000,2.436816639296744,-3.8082417453027384,2.4837843550041807,-3.752862056284571
